titulo,valor,link,termo,produto_id
Quadro Milton Nascimento Lp Clube Da Esquina Super Premium,109,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=P6ls%2FDOt%2BAdmJZriFMtZqw9Dq0FZyRoqj5SMFC5r4X2xvU8NoLL7WS5vpIPyBxKIL8as%2BEoVucXA8Q75d6ESQ5zLwvhGBbhmqUIvMO2RUskAyvUqAQd04WedwP8V%2FPOifcg8AE7O11onqqYoGiqY5FGoz%2FTwEmjFM2HXpAYpszut0Mgi35ebYqNCeYzQDoPcNMZ78GqRKKAIXJcUj0RsWWM0FC2QJLuiaVL0SlmZJt11LbOJYP3urFJWgttiVoVpRFB7eHDE1VNWHBzhfCKZNb%2BeIUkwJA3dQo%2FnSPpJ%2B4XinZ%2FytLOGwJGZ8vt%2FgXAvEEd9%2F9r%2FWk1ss7Os2FJo6TE7x3AJYYToucx4%2FugT%2FNVDfxb1F%2FQnFDEoN8v1jI7%2FczfGqir91ZKiW85smYTdYNC1tY40ZH4Ws%2B%2BJ0FJmNz1znaoR4cmdWGnuGxMW4tfe0Zb%2FqM7AAcEl26Bddhb3tQ1gfaRonJZE9%2B8ItD3iGXMSX8lJyoQELdJjbdHvUBWk6vfdywuQ%2Bk0q8vm%2FMu84L7cT3%2BeV6%2BWdfYCHZOJGvOxaILw8IT1aCKFb9iJfxbrZs0UzTVftdaBGGstNVllAOKT6mXFhMacF%2F%2FdJrd%2FEYqlhy9SBuqOZ8JiTRdYhVjLeYgJJ%2Bw7O6YNzlSgXE%2F0%2F9mNWGskLn4ix%2F9r9m3dj2uZZO3PAbB2PO9L03RX0m8RkoJuSmDShpRVXj0BfrF1x7gUerStWgOAd73Y43CQsVzC%2F2a4fXu9tavOPHEzvHMQdKmfJmrsghQFrMErVWLlnt9zPWHYIR9ptYlYj&e=mclics%2Fadvertising-results-augmenter-on%2B15097%2Cmclics%2Fmin-budget-throttling%2B54896%2Cmclics%2Fdiscard-bid-lt-min%2B45363%2Cmclics%2Fmore-ads-migration%2B56865%2Cmclics%2Fmax-bid-capped%2B36382%2Cmclics%2Fmax-bid-item-factor%2B23927%2Cmclics%2Fdomain-rules-override%2B74278%2Cmclics%2Foverride-min-seasonality%2B49092&rb=x,clube_da_esquina_1972,
Quadro Milton Nascimento Lp Clube Da Esquina Capa Do Disco,78,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=M%2BwvndvcNMOHDmvgmGtBr3BQAJzqbzcD8JqK9Q1hWWxuDnlY1eq%2FoxwnYQ1KzK9TzX1%2F4%2BKjl12bD4zeVp5N5X6YJFST32YyJNJMBR%2BF6BBvee8ww7DZFQQOhbGw5nRSwClId7l8Q49J8ubNsvRI6ouanagXYCfrBNXN5btI%2BVXVSiE4mX1B8JiaCtJBvpJjqnIlZHt2wc9GRA4LxlvLl9DHCXAF3VHbp86r9TyMKvEUmKIxyUSTLE%2FqZYR4hhdiwFm5IrsHmKscAm%2B6Cpd4mXNGFycvorNR3eJ50fn6CnXCm46npd3ptDrhbTWHiL4tOkI9LxWGKi1pWtWOKxAAd20DcjiI16%2BOPUiafenDV5JsdlasdSdvWAetqB5tTeMNQtr0wCBX1ZaiqmyQY40%2FFB2jyQ7MJAvkJIzTO%2BPhkjY%2FNzoB7IeFwISdtDH7Kz70ZBZVGo2m%2FpeA6L5aHOSi9sFWyWyom3nAHVqVzMXJ1bLU5sXtKXSGfGKPr3TSQp7D9UeV6HVTHhEPdXE01R1NTeGp7M8DkkQ16e0fyXngAMM%2FAe6vwcsyIvbowjCVqwhQV1M1SLScS4BtImGvSIfouyJpdLUMSUetHfgoMMeL5O22CNlrkZVOZenjAoTYpjUI6NgZczwEM7ER5NJA1CevacVFNY%2FNzVpgp6xgTXlqrxgwjEwkChT%2BrgKYt2EAvQYDkIB65GDtPcKXRr02e89qzbi8DKrQbMW3IZnVlENT8nSJVg0UdHknfZBkIXscsUI5z%2B6SNSCIEOnPt9sS%2F72Qlc5JiFP8n0oWnOv7bg%3D%3D&e=mclics%2Fadvertising-results-augmenter-on%2B15097%2Cmclics%2Fmin-budget-throttling%2B54896%2Cmclics%2Fdiscard-bid-lt-min%2B45363%2Cmclics%2Fmore-ads-migration%2B56865%2Cmclics%2Fmax-bid-capped%2B36382%2Cmclics%2Fmax-bid-item-factor%2B23927%2Cmclics%2Fdomain-rules-override%2B74278%2Cmclics%2Foverride-min-seasonality%2B49092&rb=x,clube_da_esquina_1972,
Pack Biscoito Integral Recheio Requeijão Club Social Pacote 106g 4 Unidades,4,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=tK5kpxNf6GE7uK2cajA9jT4vdeMfSVyZB6ix2ZEVQYSPMj8dtDZ1qdpogfav1avdm%2B4MECCEMTGMhMsRKLHYXXYijDeppE%2BrivotdL%2F3dQKGSY9T4xR4VuvRoDIMMEHUQLWf56b4Nphs49nLUdwc5q%2BXgWGT3SHXYW2Xwyg64lB%2F5uYRjiz4CDHfX8jmzZi5RZp8Nf65m%2FOKVXRXNyxWKgdF995vX4NLXS711JIHo1DdzY9GUW6dV6zZCVp%2BT9%2FTegUZbri%2B%2FKsEz%2FNNn%2F8FIWrj5q0TieMMXr5FkH%2BeJFraQ7uMQLYUi6GUxPGl2MNYztkP8nBYZqIDPK89Dd3%2BSsDmk%2BXEA7RsJWZhbYH1hYmyziGnuRhoXxsmQCsoc1HN%2FcsIOX1ELQIcVk61x200Q%2Bl8HdNGIxmiU8QbRE5sLlLWmdqAA6KwksUo%2BccoBTmiREU8MP39V%2BTVu%2Fm7k7MqCjleaWX6%2BqYvpnFnjQMqiiTpyMwaebJV19WJCx4B78Z5EpOJvZYX0ye9ig5aX8YjNoS8c90%2FWnRSYXO71PbIMSFH6IDmkAOQB5Hn5qLduM%2Fk0hrCnhw%2FngGql2316zzRFoxctWujmdksJL1iOLOvi9pTKFlUwdDTRiIw82S4jSm7ZZcvgetWtjFZ2fqz8CDcl7hBTHRBGtX5ZdhhJQUT4kayq1g3iYbBStyl6YLkiZEjWf2UcmXAjM2fHLRKbT52As%2BvxDQWGWLiz7%2FzH%2BXKWqUOWG8gDTb%2FLUpeOLEtfKVpjQtZWv1sX770QHmc7GcfVeToCwmmPSrdm1P8FhAHVsNv9nYqusN4JXcV45yMbt5doJgdYSRd50vYWP7%2BHdS7MLDN9vjDVal51dpIs3GYxqzDICXu7EV5OjUhw06H7R0bddHqZvsWKPUToGZwJmCi89uWKMmHJQ30pg%3D%3D&e=mclics%2Fadvertising-results-augmenter-on%2B15097%2Cmclics%2Fmin-budget-throttling%2B54896%2Cmclics%2Fdiscard-bid-lt-min%2B45363%2Cmclics%2Fmore-ads-migration%2B56865%2Cmclics%2Fmax-bid-capped%2B36382%2Cmclics%2Fmax-bid-item-factor%2B23927%2Cmclics%2Fdomain-rules-override%2B74278%2Cmclics%2Foverride-min-seasonality%2B49092&rb=x,clube_da_esquina_1972,
Biscoito salgado Club Social pizza multipack 141g 6 unidades,4,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=u1YUYbYhDgjy6BW5xjz7fTtFr9LBkgZTdpslDlUYVrNe1YnNNSXUUEhL3TxYfdTEvMkLHDRmTcgEYs5YIZB8zJ8MFKc4a47LSaXD2AQt9wjfkZS%2BtLInTk1TQxklvf4JykDSGje6PO%2B9n%2FARe7fxt71yxMoku%2FkE3YV5x9xdIbGLcvSjaCGG9eeu81wx8jB%2BfxY81%2FjWDC%2Bvj4TzUPJlydJLkbi1DrBtpzQ0bmTL4gYhcdSjJX2beYV7OBskz6Oz8qXmsr7KCNgNjDztdJrjv7H1jEvzf4RMBv2wH013uH8E9dVFfrkPZeYy5u0O%2BWw3yw0Co6wNH8mP7Ou6OwXGRv1FZbgAzoV86OTJtx6HF0r0w0Jkmfbdll3L3v18FgmzAMP617Du%2BbW4%2Fg9xVL%2B56PeavWQ6brtkqUbZ6jvy%2BHJHnF7IT2Id35JosJ%2Be%2BmOO7I9NEdeiB8q1ano0MPX3EOdGUMAsKrz%2BwyK%2B%2BO32NMIO7%2F2pO%2BGEIBptoYv%2BlAPimDh%2F1EaZycVBh9AwSxbaBqO7rV3Bf5eSHWlK%2BselsyFzFGDlixaNB3n05EyyYZfZBmSsT2UfRYXHbBW%2Fq8rAJuiVlI1gqy7bK4bm2tX8YqSCfhRu8KeDxWhJALkqDamTth9qJI6Bi66vyy8xe6aJSz7zkq3AQba7SbIgqL539MrnJSwO%2FrK2DRIUdQlxhGRji0yiGDHjXcx43gCYZBFjg21kFNXjNpRuHiesjkB7FammLrirWCjcdWva3FjhuStbFQbRzH90WSaYCOxzKVZ9Hst5N75AC%2FYs%2FS%2FXrR9P0yo2%2FXVy324og0bX7T4aw8LM0OgHSmdvcLY4c%2Bg6r6joOrIMPY7bVFHz5EGVzTEefuxe7UdC7LScaumCI2sp20vJ%2BXgPcUxP4nvlww%3D%3D&e=mclics%2Fadvertising-results-augmenter-on%2B15097%2Cmclics%2Fmin-budget-throttling%2B54896%2Cmclics%2Fdiscard-bid-lt-min%2B45363%2Cmclics%2Fmore-ads-migration%2B56865%2Cmclics%2Fmax-bid-capped%2B36382%2Cmclics%2Fmax-bid-item-factor%2B23927%2Cmclics%2Fdomain-rules-override%2B74278%2Cmclics%2Foverride-min-seasonality%2B49092&rb=x,clube_da_esquina_1972,
Lp - Ronnie Von - Polydor - 1966 ( Meu Bem )  Vinil,95,https://produto.mercadolivre.com.br/MLB-3889780359-lp-ronnie-von-polydor-1966-meu-bem-vinil-_JM,ronnie_von_misteriosa,MLB-3889780359
Lp Vinil Ronnie Von E Seus Sucessos 1977 Exc. Estado,81,https://produto.mercadolivre.com.br/MLB-3537440093-lp-vinil-ronnie-von-e-seus-sucessos-1977-exc-estado-_JM,ronnie_von_misteriosa,MLB-3537440093
Quadro Milton Nascimento Lp Clube Da Esquina Super Premium,109,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=x600mr3UEmSvaqtmVUGdJMmOMfdauLym9Zy%2F63vBHmkxMyDXKmvfHmEPwKZUR6j8afHstqV%2BZrYDrZbnVOcdyukN15OhK%2B027fyYh46fda80ry%2FI6quEcSGSVWIxGqO1vXowewa%2F7ctu0ijBXG9g8HxN8KpcjwHNvH7lX%2B6P0QMcSQ1xakaPiMCaTlvXgMEwuhkNy8QxSXHMxuZyUXPmG7YG3bsCb7tr9hTebR312ZXMdkCuIAUacxMfSEA6omFYjT0eDQ43q83se0RgRtRcG1FwJ29gxbpB%2Fe5XUAchzI1KYLE8Ze%2FlIpx9hTlyUM4geD6Iou%2FUfWjqswZdTwOsC%2B16ChagrOb8UDJoNYjCCGB%2Fum1EMR0IMETmsdeqVJYYOjHp%2BmzQQXZg%2B1Y7APlvig4zTSCAtOFcDknx3ze0n7CvIQnAciNiAPUBVH8%2Fhx55K8W6CWoiJ1XPBFneemOjlpAk%2B11bFWRHaKTgtrzimS8%2BWPNro3JKhPrJyvUkH7m4weaFexX4wIxZW6Ia7AUd6MX2oELcx0CFUQAnG%2FZPdSeFUe9GAeQa1uhl7s%2BHWbd%2Bj%2BKZbIudgcnLh1GW3KoO17FtHbgnIc6tUDxuOuPoxo7jLSN5%2F6FRc6jeVQAUuXMlXRRceQ9o2D6JKyKjQSNU%2BdN9nCrqO24WT4yLrZ66T7JwIzoz9ie6YQ2w0zMODFnfwIAcTe97iKhIPkobFClqVrAO1kVCn0eRRXYdi9UyHZwD1QvGISAtl9qhoryi%2FeQbOGgTexN9RZtUkJ0NZe3O4tOrmL4p%2BJEmslQnzGM%3D&e=mclics%2Fadvertising-results-augmenter-on%2B15097%2Cmclics%2Fmin-budget-throttling%2B54896%2Cmclics%2Fdiscard-bid-lt-min%2B45363%2Cmclics%2Fmore-ads-migration%2B56865%2Cmclics%2Fmax-bid-capped%2B36382%2Cmclics%2Fmax-bid-item-factor%2B23927%2Cmclics%2Fdomain-rules-override%2B74278%2Cmclics%2Foverride-min-seasonality%2B49092&rb=x,clube_da_esquina_1972,
Quadro Milton Nascimento Lp Clube Da Esquina Capa Do Disco,78,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=24PLkLE6u%2BUClhWvqaGDGbT3YdIp5J0u8kuURFWmwGYCCpBy6Q2uaeS1Hd9yJCy%2B9UcN95edkUu%2FSkz2oeLHw4WItUuCEEeK8YXpNPhwjXXY8UW%2B4mo4sUgcVHIprYqzZLaEgqJEO4HBytnUI1jahEYmJQn0W22CbVXg9MMTRT0VCcJEfSuSCApWLJilpzspIzQRwyuyYv41JEq5ND1kJuL0%2BAjbszDSiZ1JMxKl6n0GJP2gGGbBh88uG8bO4Fa80bq1y7Hp77ukr2wIFeGkKMfvbype7skOuZIsWOx4P%2F5RiG53qJWP9%2BMWww9u%2F%2BvfuJniuyAm%2BkHKk1yOudeQBPFDocCrjpSG8F9PQix7Lb6ZWkSsvLkdIKs%2BzdLcA3G04HDt%2BVHJz%2Fi7EA%2BQsVCxb7ilaZMj7z%2BPjbqLnZNZYhKjODXnJbh8DWWMQV4BAneI4P%2B4TJWXH4%2FzJqEenv%2B1EevTaFVXKKCIICQRflxRUCKSP1mNBTvWMTtmqvbC1TVU9yXyL2%2BIaZkUQb%2B25lVqc0L7afyxlI7SJaA%2BIXNT2NlugT7vbH8v9NRxu4QIzmzpCJmR%2FX3hbpmtGwryBZgko4NH0tjKigxzhhBTCfX%2Bx%2BizdI0HN2XHZDAwZdfOeQLnhi6kyG0sdxnHddTCXVF5VMEE15ku97W8Y52MCCxSLi0tyNENg7BgNlhrJJcMvgQ5smCwzqfBHda%2FSZzSqj2ao0JOOWfWTe0TTeWF404uU2oiUlJ1TRDecWJbh%2FA1cB88Stdp7kaBwK6slGKlPOkfracOrQy4Ll0%2Few57qcU%3D&e=mclics%2Fadvertising-results-augmenter-on%2B15097%2Cmclics%2Fmin-budget-throttling%2B54896%2Cmclics%2Fdiscard-bid-lt-min%2B45363%2Cmclics%2Fmore-ads-migration%2B56865%2Cmclics%2Fmax-bid-capped%2B36382%2Cmclics%2Fmax-bid-item-factor%2B23927%2Cmclics%2Fdomain-rules-override%2B74278%2Cmclics%2Foverride-min-seasonality%2B49092&rb=x,clube_da_esquina_1972,
Pack Biscoito Integral Recheio Requeijão Club Social Pacote 106g 4 Unidades,4,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=JnuEDPVAH3wNn3IZT9MNJajXHC82XRKB2HyrutJUB9dqaqt3H77mWbTU5qs6U21jq5U6oFdsnlwKLJM0%2BavPO7FbJWEOGw7naGBaNHei1r6rb1UdWYxCw57chnpoGKW4EgFTJJwfiGOEB3HFWTWbJ8O9dFn%2BNWJeaspDhsHOWKu%2FFpyKOYldOwC39zabRlP9%2BPHt9eUjjliCThxrt%2BbRelNuiE3ILKzUXDLGXtlZtSFvDxOT4RVg9oTugeRanEYJmSBA9ZxPjzsISTZcomTtSKfUk2vVul%2Fgsiaaz3%2Ba99qGXgUSjUDR5i2BzLVYKaBoMAfi6nC9avHyYA8bEPgOyjUUwpklbyqkis%2FeibTD1yhZh4GvFnLHIVSACcxKuZVqqATPaTbC%2Bk0DwkKTOiuh525Hd858frA7fP7NQQxTh%2BzN2kXHKFBvoPT4RBaU3tZLYRnJRolmtpM%2BTF4gGOV3SpE%2FZeeEhsLm%2BrGAFecYy5ATUSfgJWBoMVZ611S4ew4cUQerVnr7G15T%2BSRY5mPkbyisq92X7%2FR0tZa6VuCuv%2BFhFBPp%2Bsj6HCW9Qu7C9h36OVPZvOH02H9a1m0n08XDgYVo8%2FrhFxAJdYrT3vu1L4NjPPIl9pUrXJAv89hnZLzOQ%2FKF5WzThGJFcZYpjouDF1fiD3HnXo5POTUq%2FoBO5JCBIE3hS7W%2Bt1ntNvMzu%2B8T3NjuFJ9O8OR7wq4Jsjnp1Mx5k3H60NfoTgLCOlAuTaCF4%2FMtFDik%2FOtG7qRLs41A%2FLl%2Bq3OwlIVr1mHvuFmRXz6Af6%2F0CU4N26J0xc%2FCCw%2BfFGDaAOGp6J6aKXCEYpvEwdP2pxzLUQOUESC5CEVZGItj7EsvqMBRYmqr38HTfE0%2BAY9kAaqnbcKtX0qr%2BB82iQpDKvAbIUZaqgknvJFnr0csicVYrw3y&e=mclics%2Fadvertising-results-augmenter-on%2B15097%2Cmclics%2Fmin-budget-throttling%2B54896%2Cmclics%2Fdiscard-bid-lt-min%2B45363%2Cmclics%2Fmore-ads-migration%2B56865%2Cmclics%2Fmax-bid-capped%2B36382%2Cmclics%2Fmax-bid-item-factor%2B23927%2Cmclics%2Fdomain-rules-override%2B74278%2Cmclics%2Foverride-min-seasonality%2B49092&rb=x,clube_da_esquina_1972,
Biscoito salgado Club Social pizza multipack 141g 6 unidades,4,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=6Q02U6ouKPQONKx6q17R%2FcMHgHJWUxLTDB4Lccz1lUFjtAlOaHuX3ljsxwkXx4ydfcpFyyt8%2BRIBVtR7tavn6aGhrscn4h18cXjKHyJAyPw8S37G6e7sVe3SCnWc%2FHSYpw8aI8Gx%2B1%2BYc9Qba3eOcL2G6uYw%2B%2F2pV0fn8HmCWQsZ4UEanpG6BLnHmBeoAjOwvymXgjE2jK7epDbHOGKhp4w0b5KGuDLx7oygeWcbtDezdegATxZhwrK08IpzK%2F08LX7eQJlYdLAeuRLdWDoUO6Uh563ONMriZq60PyKk7%2FTaU%2FU0ETV4mfsUA3mDYKRlZfNu8hSbDdfrDv9BJTY0BOvb7oFOWqTUKRaP00jlxuNPsei1XVvRsji%2BYTXBmzkl%2F3NIYaC9rxo%2FlLQTzjVPTwBIFmLmtX%2B27Bra4Qesl6Ypm%2FSd3TzSEq9lQ0O6f3K0KZsJ%2BrfnHr7ZJtdecZ33ANQIbHuB1%2FFDcVTF%2FbvcM%2BwDsm2GAxu9mb%2FuNjvfWSqEhJBO9AQxYRktmmwRsjGtv8vb3W7bm9lW1RH2jaQRhBR1ZBKCrbq08FfZmG5p2kcZLctqoa2HirYyssvimTwUGIycplSvhCRpvnJSgsx6NhMTio%2BTT%2Ftye4K3O1SYglFq8%2Bk6CPshLbJGxRyyd3ikdcKIEfsVA1NLTnorzUEus6xjbuMZIqunEGwHvYPzfRHQNuuDOgUdn84QxeI3hxtVxr2f%2FagcjE6tp4Hxja5xrlWRkoNleAjs3kOua3FF%2Fe%2BraAxE0GuK79MHLxXWO6nPvLJQYDKsfUTyI2%2F8i9fget1ggat5nR5vLdysTPlV85OsKbI9naQ%2FlRJnwqr01F8WMmEExkq8E5RezdhT%2B8%2F4VeDeHX5gjBNgzXuqLcTH0Bh6uK3q0NhL8M75Sg%3D%3D&e=mclics%2Fadvertising-results-augmenter-on%2B15097%2Cmclics%2Fmin-budget-throttling%2B54896%2Cmclics%2Fdiscard-bid-lt-min%2B45363%2Cmclics%2Fmore-ads-migration%2B56865%2Cmclics%2Fmax-bid-capped%2B36382%2Cmclics%2Fmax-bid-item-factor%2B23927%2Cmclics%2Fdomain-rules-override%2B74278%2Cmclics%2Foverride-min-seasonality%2B49092&rb=x,clube_da_esquina_1972,
